Pattern,Keywords,Use Case,Description,Priority,ChangeFreq,Code Example,Next.js Implementation
Static Sitemap,static simple basic all pages,Small sites with few pages,Generate sitemap at build time for sites with static content that rarely changes.,Homepage: 1.0 Main: 0.8 Other: 0.6,weekly for main monthly for others,"export default function sitemap(): MetadataRoute.Sitemap { return [ { url: 'https://example.com', lastModified: new Date(), changeFrequency: 'weekly', priority: 1 } ]; }",app/sitemap.ts with MetadataRoute.Sitemap return type
Dynamic Sitemap,dynamic database content cms,Large sites with dynamic content,Generate sitemap dynamically by fetching URLs from database or CMS at request time.,Varies by content type,Based on update frequency,"export default async function sitemap(): Promise<MetadataRoute.Sitemap> { const posts = await fetchPosts(); return posts.map(post => ({ url: `https://example.com/blog/${post.slug}`, lastModified: post.updatedAt })); }",Use async function with database queries
Multilingual Sitemap,multilingual i18n locales hreflang,International sites,Generate URLs for all locales with proper alternates. Each URL should have language alternates.,Same across locales,Same across locales,"const locales = ['pt-BR', 'en-US', 'es', 'fr', 'zh-CN']; return routes.flatMap(route => locales.map(locale => ({ url: `${baseUrl}/${locale}${route}`, alternates: { languages: Object.fromEntries(locales.map(l => [l, `${baseUrl}/${l}${route}`])) } })));",Flatten array of locales x routes
Sitemap Index,index multiple large site,Sites with 50000+ URLs,Split sitemap into multiple files with a sitemap index. Each sitemap should have max 50000 URLs.,N/A for index,N/A for index,"Create multiple sitemap files: sitemap-pages.xml sitemap-blog.xml sitemap-products.xml. Reference in sitemap index.",Multiple sitemap functions or sitemap index pattern
Blog Sitemap,blog posts articles news content,Content-heavy sites,Prioritize recent content with accurate lastModified dates. Include all published posts.,Recent: 0.9 Older: 0.6,daily for new weekly for old,"Sort by date, include lastModified from database. Consider separate blog sitemap.","Fetch posts from CMS/database, map to sitemap entries"
E-commerce Sitemap,products categories ecommerce shop,Online stores,Include products categories and collections. Update frequently for inventory changes.,Products: 0.8 Categories: 0.9,daily for products,"Include product availability, price updates trigger lastModified change.",Integrate with inventory system for real-time updates
Robots.txt Integration,robots txt sitemap reference,All sites,robots.txt must reference sitemap location for search engine discovery.,N/A,N/A,"Sitemap: https://example.com/sitemap.xml",app/robots.ts exports MetadataRoute.Robots
Lastmod Accuracy,lastmod date modified updated,All sitemaps,Use accurate lastModified dates from actual content updates. Don't fake dates.,N/A,N/A,"lastModified: post.updatedAt || post.createdAt. Never use new Date() for all entries.",Track actual content modification dates in database
Priority Strategy,priority importance ranking,All sitemaps,Set priority based on page importance. Homepage highest then main sections then individual pages.,1.0: home 0.9: main pages 0.8: content 0.5: utility,Based on importance,"Homepage: 1.0, Pricing/Features: 0.9, Blog posts: 0.8, Legal pages: 0.3",Consistent priority across locales for same page type
Exclude Patterns,exclude noindex private auth,All sites,Don't include noindex pages private routes or authenticated content in sitemap.,N/A,N/A,"Filter out: /dashboard/* /api/* /settings/* /admin/*. Check robots noindex rules.",Use filter to exclude paths before generating sitemap
