Topic,Keywords,Description,Best Practice,Do,Dont,Code Example,Severity
Canonical URLs,canonical duplicate content,Specify the preferred version of a page to prevent duplicate content issues.,Always include canonical URL pointing to the preferred version. Use absolute URLs.,Include self-referencing canonical | Use absolute URLs | Match canonical across locales,Use relative URLs | Point canonical to different page | Forget canonical on paginated pages,"alternates: { canonical: `https://example.com/${locale}/page` }",High
Robots Meta,robots noindex nofollow index,Control how search engines index and follow links on a page.,Use robots meta to control indexing. Block private/duplicate content.,Use noindex for dashboard/settings | Allow indexing of public pages | Use nofollow for user-generated links,Block important pages | Forget to remove noindex after testing | Use noindex on sitemap pages,"export const metadata = { robots: { index: true, follow: true } }; // Or { index: false } for private pages",High
Redirect Chains,redirect 301 302 chain,Avoid chains of redirects that slow down crawling and dilute link equity.,Use single 301 redirects. Update internal links to final destination.,Use 301 for permanent redirects | Update all internal links | Audit redirects regularly,Chain multiple redirects | Use 302 for permanent moves | Redirect to redirecting pages,"// next.config.js redirects: [{ source: '/old', destination: '/new', permanent: true }]",Medium
404 Handling,404 not found error broken,Handle missing pages gracefully. Monitor and fix broken links.,Create helpful 404 page. Monitor 404s in Search Console. Redirect or fix broken URLs.,Create custom 404 page | Monitor 404 errors | Redirect valuable 404s | Return proper 404 status,Return 200 for missing pages | Ignore 404 reports | Let 404s accumulate,app/not-found.tsx with helpful navigation and search,Medium
URL Structure,url structure clean seo friendly,Use clean descriptive URLs that include relevant keywords.,Use lowercase hyphens. Include keywords. Keep URLs short and descriptive.,Use lowercase | Use hyphens not underscores | Include keywords | Keep short,Use underscores | Use uppercase | Use query params for key content | Use IDs only,/blog/how-to-grow-youtube-channel NOT /blog/post?id=123,Medium
Internal Linking,internal links anchor text,Build strong internal link structure with descriptive anchor text.,Use descriptive anchor text. Link to relevant pages. Avoid orphan pages.,Use keyword-rich anchors | Link contextually | Create hub pages | Update old content with new links,Use generic anchors like 'click here' | Overlink | Create orphan pages | Ignore internal linking,"<Link href='/features/analytics'>{t('features.analyticsLink')}</Link>",Medium
Mobile-First,mobile responsive viewport,Google uses mobile-first indexing. Mobile experience is primary.,Ensure mobile experience is excellent. Use responsive design. Test on real devices.,Use responsive design | Test on mobile devices | Ensure tap targets are large enough | Optimize for mobile speed,Create separate mobile site | Block mobile CSS/JS | Have different content on mobile,Use Tailwind responsive classes: 'text-sm md:text-base lg:text-lg',High
HTTPS,https ssl tls security,HTTPS is a ranking factor. All pages must be served over HTTPS.,Use HTTPS everywhere. Redirect HTTP to HTTPS. Use HSTS.,Force HTTPS | Use HSTS | Avoid mixed content | Keep certificates updated,Serve any content over HTTP | Allow mixed content | Let certificates expire,Configure HSTS header and force HTTPS in middleware,High
Page Speed,speed performance loading fast,Page speed is a ranking factor and affects user experience.,Optimize for Core Web Vitals. Minimize JavaScript. Optimize images.,Follow Core Web Vitals targets | Optimize images | Minimize JS | Use CDN,Ignore performance | Load unnecessary resources | Block rendering | Use heavy frameworks,See core-web-vitals.csv for detailed optimization,High
Structured Data,schema json-ld rich snippets,Structured data enables rich snippets in search results.,Add relevant schema markup. Test with Rich Results Test. Keep data accurate.,Use JSON-LD format | Test with Google tools | Keep data accurate | Update when content changes,Use incorrect schema types | Add fake data | Ignore validation errors | Over-markup content,See schema.csv for detailed examples and types,Medium
Crawl Budget,crawl budget efficiency,For large sites search engines have limited crawl resources.,Optimize crawl efficiency. Block unimportant pages. Use sitemap effectively.,Block low-value pages in robots.txt | Prioritize important pages in sitemap | Fix crawl errors | Reduce redirects,Let crawlers waste time on filters/sorts | Have duplicate URLs | Ignore crawl stats | Create infinite URLs,Block /api/* /dashboard/* in robots.txt. Prioritize main content in sitemap.,Medium
XML Sitemap,sitemap xml submission,Sitemap helps search engines discover and understand site structure.,Submit sitemap to Search Console. Keep updated. Include only indexable URLs.,Include only canonical indexable URLs | Update lastmod accurately | Split large sitemaps | Submit to Search Console,Include noindex pages | Use fake lastmod dates | Exceed 50000 URLs per file | Forget to update,See sitemap.csv for detailed implementation,Medium
