Page Type,Keywords,Title Pattern,Description Pattern,Title Length,Description Length,OpenGraph,Twitter Card,Best For,Code Example
Homepage,home landing main index saas,"{Brand} - {Value Proposition}","{Brief description of what the product does} {Call to action}",50-60,150-160,Required: title description image url,summary_large_image,SaaS landing pages e-commerce storefronts,"export async function generateMetadata({ params }) { const { locale } = await params; const t = await getTranslations({ locale, namespace: 'Home' }); return { title: t('meta.title'), description: t('meta.description'), openGraph: { title: t('meta.title'), description: t('meta.description'), type: 'website' } }; }"
Pricing,pricing plans subscription tiers cost,"{Pricing/Plans} - {Brand}","{Number} plans starting at {price}. {Key benefit}. {CTA}",50-60,150-160,Required: title description url product,summary_large_image,SaaS pricing subscription models,"export async function generateMetadata({ params }) { const { locale } = await params; const t = await getTranslations({ locale, namespace: 'Pricing' }); return { title: t('meta.title'), description: t('meta.description') }; }"
Features,features capabilities tools functions,"{Feature Category} - {Brand}","{Main feature} that helps you {benefit}. {Supporting features}.",50-60,150-160,Required: title description images,summary_large_image,Feature showcase product capabilities,"Use dynamic metadata with namespace 'Features'. Include key feature keywords in description."
Blog Post,blog article post content news,"{Article Title} | {Brand} Blog","{Compelling summary of article content} {Read time or date}",50-60,150-160,Required: title description image publishedTime author,summary_large_image,Content marketing SEO articles,"Include article:published_time article:author article:section in OpenGraph"
Product Page,product item service offering,"{Product Name} - {Category} | {Brand}","{Product description} {Key benefit} {Price or CTA}",50-60,150-160,Required: product:price:amount product:price:currency,product,E-commerce product listings SaaS tools,"Use og:type product for e-commerce. Include price and availability."
Dashboard,dashboard app portal user,"{Section} Dashboard - {Brand}","Manage your {resource}. {Key actions available}.",50-60,150-160,Optional - internal pages,summary,Authenticated user areas admin panels,"Consider noindex for authenticated pages. Still include basic metadata."
Documentation,docs documentation guide tutorial how-to,"{Topic} Documentation - {Brand}","{Topic} guide. Learn how to {action}. {Skill level}.",50-60,150-160,Required: article type,summary_large_image,Technical docs API references tutorials,"Include breadcrumb schema. Use clear hierarchical titles."
Landing Campaign,campaign promotion offer sale discount,"{Offer} - {Benefit} | {Brand}","{Urgency} {Offer details} {CTA} {Deadline if applicable}",50-60,150-160,Required: promotional content,summary_large_image,Marketing campaigns seasonal promotions,"Include time-sensitive keywords. Consider dynamic OG images."
About,about company team mission story,About {Brand} - {Tagline},"Learn about {Brand}. {Mission statement}. {Founded/Team info}.",50-60,150-160,Required: profile information,summary,Company pages team pages,Include Organization schema. Link to social profiles.
Contact,contact support help reach,Contact {Brand} - {Response Time},"Get in touch with {Brand}. {Contact methods}. {Response time}.",50-60,150-160,Required: contact information,summary,Contact pages support pages,Include LocalBusiness schema if applicable. Add contact points.
FAQ,faq questions answers help support,"FAQ - {Topic} | {Brand}","Answers to common questions about {topic}. {Number} FAQs.",50-60,150-160,Required for rich snippets,summary,Help centers knowledge bases,"MUST include FAQPage schema for rich snippets in SERP"
Category,category archive collection list,"{Category Name} - {Brand}","Browse {number} {items} in {category}. {Filter options}.",50-60,150-160,Required for collections,summary_large_image,E-commerce categories blog archives,Include CollectionPage schema. Paginate properly.
Search Results,search results query find,"{Query} - Search Results | {Brand}",noindex recommended for search results pages,N/A,N/A,Optional,summary,Internal search pages,"Use noindex for search result pages to avoid duplicate content"
Error 404,error not found 404 missing,Page Not Found - {Brand},The page you're looking for doesn't exist. Return to homepage.,50-60,150-160,Optional,summary,Error pages,"Use noindex. Provide helpful navigation back to main content."
Legal,privacy terms legal policy,"{Policy Name} - {Brand}","{Policy type} for {Brand}. Last updated {date}.",50-60,150-160,Optional,summary,Privacy policy terms of service,"Consider noindex for legal boilerplate. Include lastmod in sitemap."
