Check,Keywords,Severity,WCAG,Level,Description,Requirement,Code Example,Testing Method,Tools
Color Contrast,contrast ratio text background readability,HIGH,1.4.3,AA,Text must have sufficient contrast against background,4.5:1 for normal text 3:1 for large text,"// Use high contrast colors
<p className=""text-slate-900 dark:text-slate-100"">
  {/* 4.5:1 contrast on white/dark backgrounds */}
</p>
// Check with Tailwind config
colors: {
  primary: { DEFAULT: '#1d4ed8' } // Ensure AA contrast
}",Use axe DevTools or Lighthouse audit,axe DevTools WAVE Lighthouse
Alt Text,image alt description screen reader,CRITICAL,1.1.1,A,All images must have descriptive alt text,Meaningful alt for informative images empty alt for decorative,"// Informative image
<Image
  src=""/product.jpg""
  alt={t('product.altText')} // Localized!
/>
// Decorative image
<Image
  src=""/decoration.svg""
  alt=""""
  aria-hidden=""true""
/>",Screen reader testing check alt attributes,axe WAVE manual review
Keyboard Navigation,keyboard focus tab enter escape,CRITICAL,2.1.1,A,All functionality must be accessible via keyboard,Tab to navigate Enter/Space to activate Escape to close,"// Ensure all interactive elements are focusable
<button onClick={handleClick}>
  {t('button.submit')}
</button>
// Custom components need tabIndex
<div role=""button"" tabIndex={0} onKeyDown={handleKeyDown}>
  {t('card.clickable')}
</div>",Tab through entire site test all interactions,Keyboard-only testing
Focus Indicators,focus visible outline ring,HIGH,2.4.7,AA,Focus indicators must be visible,Clear visual indication of focused element,"// Tailwind focus styles
<button className=""focus:ring-2 focus:ring-blue-500 focus:outline-none"">
  {t('button.action')}
</button>
// Global focus styles
@layer base {
  :focus-visible {
    @apply ring-2 ring-blue-500 ring-offset-2;
  }
}",Tab through interface verify focus is visible,Visual inspection keyboard testing
Skip Links,skip navigation main content,MEDIUM,2.4.1,A,Provide skip links to bypass repeated content,Skip to main content link at page start,"// First element in body
<a
  href=""#main-content""
  className=""sr-only focus:not-sr-only focus:absolute focus:top-4 focus:left-4""
>
  {t('a11y.skipToContent')}
</a>
<main id=""main-content"">",Tab at page start verify skip link appears,Screen reader keyboard testing
Form Labels,label input association,CRITICAL,1.3.1,A,All form inputs must have associated labels,Use htmlFor or wrap input in label,"// Explicit association
<label htmlFor=""email"">{t('form.email')}</label>
<input id=""email"" type=""email"" />
// Or implicit
<label>
  {t('form.email')}
  <input type=""email"" />
</label>",Check for label associations in DevTools,axe WAVE
Error Identification,error message validation accessible,HIGH,3.3.1,A,Errors must be clearly identified and described,Programmatically associated error messages,"// Accessible error
<input
  aria-invalid={!!error}
  aria-describedby=""email-error""
/>
{error && (
  <p id=""email-error"" role=""alert"">
    {t('errors.invalidEmail')}
  </p>
)}",Trigger validation errors test screen reader,Screen reader axe
Heading Structure,heading h1 h2 hierarchy,HIGH,1.3.1,A,Headings must follow logical hierarchy,One h1 per page headings in order without skipping,"// Correct hierarchy
<h1>{t('page.title')}</h1>
<section>
  <h2>{t('section.title')}</h2>
  <h3>{t('subsection.title')}</h3>
</section>
// Never skip levels (h1 -> h3)",Use heading map extensions,WAVE HeadingsMap
Language Attribute,lang html locale,HIGH,3.1.1,A,Page language must be programmatically set,html lang attribute matches content language,"// layout.tsx
export default function RootLayout({
  children,
  params: { locale }
}: {
  children: React.ReactNode;
  params: { locale: string };
}) {
  return (
    <html lang={locale}>
      {children}
    </html>
  );
}",Check html lang attribute in DevTools,Lighthouse axe
Reduced Motion,prefers-reduced-motion animation,MEDIUM,2.3.3,AAA,Respect user preferences for reduced motion,Disable or reduce animations when preferred,"// Tailwind motion-safe
<div className=""transition-transform motion-safe:hover:scale-105"">
// CSS media query
@media (prefers-reduced-motion: reduce) {
  * {
    animation-duration: 0.01ms !important;
    transition-duration: 0.01ms !important;
  }
}",Test with reduce motion preference enabled,OS settings manual testing
