Schema Type,Keywords,Use Case,Properties,Required Fields,Recommended Fields,JSON-LD Example,Validation URL
Organization,company business brand organization,Homepage company pages,Represents the company/organization behind the website. Improves brand knowledge panel.,"@type name url","logo sameAs contactPoint address description foundingDate","{ '@context': 'https://schema.org', '@type': 'Organization', 'name': 'TubeSpark', 'url': 'https://tubespark.com', 'logo': 'https://tubespark.com/logo.png', 'sameAs': ['https://twitter.com/tubespark', 'https://linkedin.com/company/tubespark'] }",https://validator.schema.org/
SoftwareApplication,saas app software product pricing,SaaS product pages pricing,Represents a software application. Shows app info in search results with ratings and price.,"@type name applicationCategory","operatingSystem offers aggregateRating screenshot","{ '@context': 'https://schema.org', '@type': 'SoftwareApplication', 'name': 'TubeSpark', 'applicationCategory': 'BusinessApplication', 'operatingSystem': 'Web', 'offers': { '@type': 'Offer', 'price': '0', 'priceCurrency': 'USD' } }",https://validator.schema.org/
Product,product ecommerce item offering,E-commerce product pages,Represents a product for sale. Enables rich snippets with price availability and reviews.,"@type name","description image offers sku brand review aggregateRating","{ '@context': 'https://schema.org', '@type': 'Product', 'name': 'Pro Plan', 'description': 'Full access to all features', 'offers': { '@type': 'Offer', 'price': '29.99', 'priceCurrency': 'USD', 'availability': 'https://schema.org/InStock' } }",https://search.google.com/test/rich-results
FAQPage,faq questions answers help,FAQ pages help centers,Represents a FAQ page. Enables FAQ rich snippets in search results.,"@type mainEntity","Each Q&A needs @type Question name acceptedAnswer","{ '@context': 'https://schema.org', '@type': 'FAQPage', 'mainEntity': [{ '@type': 'Question', 'name': 'How do I get started?', 'acceptedAnswer': { '@type': 'Answer', 'text': 'Sign up for free and...' } }] }",https://search.google.com/test/rich-results
BreadcrumbList,breadcrumb navigation path hierarchy,All pages with hierarchy,Represents breadcrumb navigation. Shows page hierarchy in search results.,"@type itemListElement","Each item needs @type ListItem position name item","{ '@context': 'https://schema.org', '@type': 'BreadcrumbList', 'itemListElement': [{ '@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://example.com' }, { '@type': 'ListItem', 'position': 2, 'name': 'Pricing', 'item': 'https://example.com/pricing' }] }",https://search.google.com/test/rich-results
Article,blog post article news content,Blog posts news articles,Represents an article or blog post. Enables article rich snippets.,"@type headline datePublished author","image publisher dateModified description articleBody","{ '@context': 'https://schema.org', '@type': 'Article', 'headline': 'How to Grow Your YouTube Channel', 'datePublished': '2024-01-15', 'author': { '@type': 'Person', 'name': 'John Doe' }, 'publisher': { '@type': 'Organization', 'name': 'TubeSpark' } }",https://search.google.com/test/rich-results
WebSite,website search sitelinks,Homepage,Represents the website. Can enable sitelinks searchbox in search results.,"@type url name","potentialAction (SearchAction) description","{ '@context': 'https://schema.org', '@type': 'WebSite', 'url': 'https://tubespark.com', 'name': 'TubeSpark', 'potentialAction': { '@type': 'SearchAction', 'target': 'https://tubespark.com/search?q={search_term_string}', 'query-input': 'required name=search_term_string' } }",https://validator.schema.org/
LocalBusiness,local business location address,Local business pages,Represents a local business with physical location. Shows business info in local search.,"@type name address","telephone openingHours geo priceRange image","{ '@context': 'https://schema.org', '@type': 'LocalBusiness', 'name': 'TubeSpark HQ', 'address': { '@type': 'PostalAddress', 'streetAddress': '123 Main St', 'addressLocality': 'San Francisco', 'addressRegion': 'CA' } }",https://search.google.com/test/rich-results
HowTo,how-to tutorial guide steps,Tutorial pages guides,Represents how-to instructions. Enables how-to rich snippets with steps.,"@type name step","description image totalTime estimatedCost supply tool","{ '@context': 'https://schema.org', '@type': 'HowTo', 'name': 'How to Create Your First Script', 'step': [{ '@type': 'HowToStep', 'name': 'Choose a topic', 'text': 'Select a trending topic...' }] }",https://search.google.com/test/rich-results
VideoObject,video youtube embed media,Video pages embeds,Represents a video. Enables video rich snippets and video carousel.,"@type name description thumbnailUrl uploadDate","duration contentUrl embedUrl","{ '@context': 'https://schema.org', '@type': 'VideoObject', 'name': 'Getting Started with TubeSpark', 'description': 'Learn how to use TubeSpark', 'thumbnailUrl': 'https://example.com/thumb.jpg', 'uploadDate': '2024-01-15', 'duration': 'PT5M30S' }",https://search.google.com/test/rich-results
